"name","latitude","longitude","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","precip","preciptype","snow","snowdepth","cloudcover","conditions","description","city","country","id","location","temp_diff_max","temp_diff_min","temp_diff"
"Reykjavíkurborg, Ísland",64.146,-21.94,"1973-12-25",38.1,-1.1,20,60.9,-9.7,26.9,0,"",,,85.3,"Partially cloudy","Partly cloudy throughout the day.","Reykjavík","Iceland",47,"Reykjavík, Iceland",18.1,21.1,3
"Anchorage, AK, United States",61.218,-149.858,"1973-12-25",0.6,-8.8,-3.8,-3.4,-10.9,-7.7,0,"",,2,96.4,"Overcast","Cloudy skies throughout the day.","Anchorage (AK)","USA",73,"Anchorage (AK), USA",4.4,5,0.600000000000001
"Helsinki, Etelä-Suomi, Suomi",60.171,24.933,"1973-12-25",0.1,-2.9,-1.5,-0.9,-6.8,-3.9,,"",,,100,"Overcast","Cloudy skies throughout the day.","Helsinki","Finland",24,"Helsinki, Finland",1.6,1.4,0.2
"Oslo, Norge",59.912,10.75,"1973-12-25",-2.6,-7.6,-5,-3.8,-11.7,-8,0,"",,0,97.8,"Overcast","Cloudy skies throughout the day.","Oslo","Norway",30,"Oslo, Norway",2.4,2.6,0.2
"Tallinn, Eesti",59.436,24.753,"1973-12-25",-0.9,-1.9,-1.3,-0.9,-6.6,-4.2,0,"",,16.9,100,"Overcast","Cloudy skies throughout the day.","Tallinn","Estonia",40,"Tallinn, Estonia",0.4,0.6,0.2
"Stockholm, Stockholms län, Sverige",59.333,18.067,"1973-12-25",2.1,-0.4,0.2,1.1,-5.6,-1.8,,"",,0,92.7,"Overcast","Cloudy skies throughout the day.","Stockholm","Sweden",17,"Stockholm, Sweden",1.9,0.6,1.3
"Rīga, Latvija",56.946,24.115,"1973-12-25",1.1,0,0.6,1,-5.6,-3.3,,"",,15.2,100,"Overcast","Cloudy skies throughout the day.","Riga","Latvia",32,"Riga, Latvia",0.5,0.6,0.0999999999999999
"Москва, Центральный федеральный округ, Россия",55.757,37.615,"1973-12-25",1.1,0.1,0.8,1.1,-3.4,-1.1,,"",,,100,"Overcast","Cloudy skies throughout the day.","Moscow","Russia",3,"Moscow, Russia",0.3,0.7,0.4
"København, Hovedstaden, Danmark",55.676,12.568,"1973-12-25",3.1,1.9,2.5,3.1,-2.3,1.1,0,"",,,94.7,"Overcast","Cloudy skies throughout the day.","Copenhagen","Denmark",22,"Copenhagen, Denmark",0.6,0.6,0
"Vilnius, Vilniaus Apskritis, Lietuva",54.691,25.27,"1973-12-25",0.1,-0.9,-0.2,0.1,-6.6,-2.9,0.492,"rain,snow",,3,93.2,"Snow, Rain, Overcast","Cloudy skies throughout the day with early morning snow or rain.","Vilnius","Lithuania",36,"Vilnius, Lithuania",0.3,0.7,0.4
"Мінск, Беларусь",53.904,27.566,"1973-12-25",-1.9,-2.9,-2.4,-2.9,-7,-4.8,,"",,15,27.6,"Partially cloudy","Partly cloudy throughout the day.","Minsk","Belarus",12,"Minsk, Belarus",0.5,0.5,0
"Edmonton, AB, Canada",53.546,-113.49,"1973-12-25",-1.2,-7.6,-3.5,-7.7,-14.5,-10,0.2,"snow",,4,79.5,"Snow, Partially cloudy","Partly cloudy throughout the day with early morning snow.","Edmonton","Canada",53,"Edmonton, Canada",2.3,4.1,1.8
"Dublin, Ireland",53.348,-6.248,"1973-12-25",9.1,1.1,4.6,5.5,-3.6,0.8,0,"",,,97.7,"Overcast","Cloudy skies throughout the day.","Dublin","Ireland",25,"Dublin, Ireland",4.5,3.5,1
"Berlin, Deutschland",52.516,13.377,"1973-12-25",2,-2.3,-0.1,1,-4.8,-0.9,,"",,0,87.5,"Partially cloudy","Partly cloudy throughout the day.","Berlin","Germany",7,"Berlin, Germany",2.1,2.2,0.0999999999999996
"Amsterdam, Noord-Holland, Nederland",52.37,4.908,"1973-12-25",5.9,2.7,4.7,3.9,1.1,2.6,0,"",,0,93.1,"Overcast","Cloudy skies throughout the day.","Amsterdam","Netherlands",19,"Amsterdam, Netherlands",1.2,2,0.8
"Warszawa, Woj. Mazowieckie, Polska",52.236,21.01,"1973-12-25",4.1,0.1,2.6,2.9,-1.7,0.8,0,"",,0,56.3,"Partially cloudy","Partly cloudy throughout the day.","Warsaw","Poland",15,"Warsaw, Poland",1.5,2.5,1
"London, England, United Kingdom",51.506,-0.127,"1973-12-25",4,1.4,3.2,4,-2.9,0.6,0,"",,0,89.3,"Partially cloudy","Partly cloudy throughout the day.","London","United Kingdom",4,"London, United Kingdom",0.8,1.8,1
"Нұр-Сұлтан, Қазақстан",51.128,71.428,"1973-12-25",-10.9,-22.9,-17.3,-20.6,-31.1,-26.7,0,"",,,38,"Partially cloudy","Partly cloudy throughout the day.","Astana","Kazakhstan",29,"Astana, Kazakhstan",6.4,5.6,0.800000000000002
"Calgary, AB, Canada",51.045,-114.063,"1973-12-25",2.7,-8.8,-3.2,-2.3,-11.8,-7.2,,"",,92,80.8,"Partially cloudy","Partly cloudy throughout the day.","Calgary","Canada",52,"Calgary, Canada",5.9,5.6,0.3
"Brussels, Belgium",50.844,4.356,"1973-12-25",5,3.6,4.5,4,-0.7,1,0,"",,,97.5,"Overcast","Cloudy skies throughout the day.","Brussels","Belgium",16,"Brussels, Belgium",0.5,0.9,0.4
"Київ, Україна",50.451,30.524,"1973-12-25",1.1,-1.2,0.2,0.1,-5.3,-2.5,0,"",,,100,"Overcast","Cloudy skies throughout the day.","Kyiv","Ukraine",9,"Kyiv, Ukraine",0.9,1.4,0.5
"Praha, Hlavní město Praha, Česko",50.079,14.433,"1973-12-25",1.1,0,0.4,1.1,-1.4,0.3,0,"",,0,90,"Partially cloudy","Partly cloudy throughout the day.","Prague","Czechia",23,"Prague, Czechia",0.7,0.4,0.3
